benchmark,input_size,rank,opcode,mean_count,percentage_of_total
loops,100000,1,OP_GET_GLOBAL,600003.0,25.531879583747337
loops,100000,2,OP_POP,400001.0,17.021210502911682
loops,100000,3,OP_CONSTANT,300003.0,12.76600362125348
loops,100000,4,OP_JUMP_IF_FALSE,200001.0,8.510626527915779
loops,100000,5,OP_LESS,200001.0,8.510626527915779
loops,100000,6,OP_ADD,200000.0,8.510583974995905
loops,100000,7,OP_SET_GLOBAL,200000.0,8.510583974995905
loops,100000,8,OP_LOOP,100000.0,4.2552919874979525
loops,100000,9,OP_DIVIDE,100000.0,4.2552919874979525
loops,100000,10,OP_JUMP,50000.0,2.1276459937489762
loops,1000000,1,OP_GET_GLOBAL,6000003.0,25.531911362609765
loops,1000000,2,OP_POP,4000001.0,17.021269986423412
loops,1000000,3,OP_CONSTANT,3000003.0,12.765962064279535
loops,1000000,4,OP_JUMP_IF_FALSE,2000001.0,8.510637120869923
loops,1000000,5,OP_LESS,2000001.0,8.510637120869923
loops,1000000,6,OP_ADD,2000000.0,8.51063286555349
loops,1000000,7,OP_SET_GLOBAL,2000000.0,8.51063286555349
loops,1000000,8,OP_LOOP,1000000.0,4.255316432776745
loops,1000000,9,OP_DIVIDE,1000000.0,4.255316432776745
loops,1000000,10,OP_JUMP,500000.0,2.1276582163883724
loops,10000000,1,OP_GET_GLOBAL,60000003.0,25.531914540516095
loops,10000000,2,OP_POP,40000001.0,17.021275934812174
loops,10000000,3,OP_CONSTANT,30000003.0,12.765957908555878
loops,10000000,4,OP_JUMP_IF_FALSE,20000001.0,8.51063818017203
loops,10000000,5,OP_LESS,20000001.0,8.51063818017203
loops,10000000,6,OP_ADD,20000000.0,8.510637754640143
loops,10000000,7,OP_SET_GLOBAL,20000000.0,8.510637754640143
loops,10000000,8,OP_LOOP,10000000.0,4.255318877320072
loops,10000000,9,OP_DIVIDE,10000000.0,4.255318877320072
loops,10000000,10,OP_JUMP,5000000.0,2.127659438660036
objects,1000,1,OP_GET_GLOBAL,4005.0,17.38583087341552
objects,1000,2,OP_POP,4003.0,17.37714881055739
objects,1000,3,OP_CONSTANT,2003.0,8.695085952422296
objects,1000,4,OP_GET_LOCAL,2003.0,8.695085952422296
objects,1000,5,OP_ADD,2000.0,8.682062858135092
