benchmark,input_size,opcode,mean_count,std_count,min_count,max_count,percentage_of_opcodes
closures,1000000,OP_GET_LOCAL,1.0,0.0,1,1,4.761897959193391e-06
closures,1000000,OP_GET_UPVALUE,2000002.0,0.0,2000002,2000002,9.523805442182702
closures,1000000,OP_JUMP_IF_FALSE,1000001.0,0.0,1000001,1000001,4.761902721091351
closures,1000000,OP_LESS,1000001.0,0.0,1000001,1000001,4.761902721091351
closures,1000000,OP_LOOP,1000000.0,0.0,1000000,1000000,4.761897959193392
closures,1000000,OP_NIL,1.0,0.0,1,1,4.761897959193391e-06
closures,1000000,OP_POP,4000002.0,0.0,4000002,4000002,19.047601360569484
closures,1000000,OP_PRINT,1.0,0.0,1,1,4.761897959193391e-06
closures,1000000,OP_RETURN,1000003.0,0.0,1000003,1000003,4.761912244887269
closures,1000000,OP_SET_GLOBAL,1000000.0,0.0,1000000,1000000,4.761897959193392
closures,1000000,OP_SET_UPVALUE,1000001.0,0.0,1000001,1000001,4.761902721091351
functions,1000,OP_ADD,2000.0,0.0,2000,2000,9.516106009420945
functions,1000,OP_CALL,1000.0,0.0,1000,1000,4.758053004710472
functions,1000,OP_CLOSURE,1.0,0.0,1,1,0.004758053004710472
functions,1000,OP_CONSTANT,1003.0,0.0,1003,1003,4.772327163724603
functions,1000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,0.01903221201884189
functions,1000,OP_GET_GLOBAL,6003.0,0.0,6003,6003,28.562592187276962
functions,1000,OP_GET_LOCAL,2000.0,0.0,2000,2000,9.516106009420945
functions,1000,OP_JUMP_IF_FALSE,1001.0,0.0,1001,1001,4.762811057715183
functions,1000,OP_LESS,1001.0,0.0,1001,1001,4.762811057715183
functions,1000,OP_LOOP,1000.0,0.0,1000,1000,4.758053004710472
functions,1000,OP_NIL,1.0,0.0,1,1,0.004758053004710472
functions,1000,OP_POP,3001.0,0.0,3001,3001,14.278917067136126
functions,1000,OP_PRINT,1.0,0.0,1,1,0.004758053004710472
functions,1000,OP_RETURN,1001.0,0.0,1001,1001,4.762811057715183
functions,1000,OP_SET_GLOBAL,2000.0,0.0,2000,2000,9.516106009420945
functions,10000,OP_ADD,20000.0,0.0,20000,20000,9.523038611160048
functions,10000,OP_CALL,10000.0,0.0,10000,10000,4.761519305580024
functions,10000,OP_CLOSURE,1.0,0.0,1,1,0.00047615193055800247
functions,10000,OP_CONSTANT,10003.0,0.0,10003,10003,4.762947761371699
functions,10000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,0.0019046077222320099
functions,10000,OP_GET_GLOBAL,60003.0,0.0,60003,60003,28.570544289271822
functions,10000,OP_GET_LOCAL,20000.0,0.0,20000,20000,9.523038611160048
functions,10000,OP_JUMP_IF_FALSE,10001.0,0.0,10001,10001,4.761995457510582
functions,10000,OP_LESS,10001.0,0.0,10001,10001,4.761995457510582
functions,10000,OP_LOOP,10000.0,0.0,10000,10000,4.761519305580024
functions,10000,OP_NIL,1.0,0.0,1,1,0.00047615193055800247
functions,10000,OP_POP,30001.0,0.0,30001,30001,14.285034068670633
functions,10000,OP_PRINT,1.0,0.0,1,1,0.00047615193055800247
functions,10000,OP_RETURN,10001.0,0.0,10001,10001,4.761995457510582
functions,10000,OP_SET_GLOBAL,20000.0,0.0,20000,20000,9.523038611160048
functions,100000,OP_ADD,200000.0,0.0,200000,200000,9.523732426927973
functions,100000,OP_CALL,100000.0,0.0,100000,100000,4.761866213463986
functions,100000,OP_CLOSURE,1.0,0.0,1,1,4.761866213463986e-05
functions,100000,OP_CONSTANT,100003.0,0.0,100003,100003,4.76200906945039
functions,100000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,0.00019047464853855944
functions,100000,OP_GET_GLOBAL,600003.0,0.0,600003,600003,28.571340136770324
functions,100000,OP_GET_LOCAL,200000.0,0.0,200000,200000,9.523732426927973
functions,100000,OP_JUMP_IF_FALSE,100001.0,0.0,100001,100001,4.761913832126121
functions,100000,OP_LESS,100001.0,0.0,100001,100001,4.761913832126121
functions,100000,OP_LOOP,100000.0,0.0,100000,100000,4.761866213463986
functions,100000,OP_NIL,1.0,0.0,1,1,4.761866213463986e-05
functions,100000,OP_POP,300001.0,0.0,300001,300001,14.285646259054094
functions,100000,OP_PRINT,1.0,0.0,1,1,4.761866213463986e-05
functions,100000,OP_RETURN,100001.0,0.0,100001,100001,4.761913832126121
functions,100000,OP_SET_GLOBAL,200000.0,0.0,200000,200000,9.523732426927973
functions,1000000,OP_ADD,2000000.0,0.0,2000000,2000000,9.523801814065198
functions,1000000,OP_CALL,1000000.0,0.0,1000000,1000000,4.761900907032599
functions,1000000,OP_CLOSURE,1.0,0.0,1,1,4.761900907032599e-06
functions,1000000,OP_CONSTANT,1000003.0,0.0,1000003,1000003,4.76191519273532
functions,1000000,OP_DEFINE_GLOBAL,4.0,0.0,4,4,1.9047603628130396e-05
functions,1000000,OP_GET_GLOBAL,6000003.0,0.0,6000003,6000003,28.571419727898316
functions,1000000,OP_GET_LOCAL,2000000.0,0.0,2000000,2000000,9.523801814065198
functions,1000000,OP_JUMP_IF_FALSE,1000001.0,0.0,1000001,1000001,4.761905668933506
functions,1000000,OP_LESS,1000001.0,0.0,1000001,1000001,4.761905668933506
functions,1000000,OP_LOOP,1000000.0,0.0,1000000,1000000,4.761900907032599
functions,1000000,OP_NIL,1.0,0.0,1,1,4.761900907032599e-06
functions,1000000,OP_POP,3000001.0,0.0,3000001,3000001,14.285707482998705
functions,1000000,OP_PRINT,1.0,0.0,1,1,4.761900907032599e-06
functions,1000000,OP_RETURN,1000001.0,0.0,1000001,1000001,4.761905668933506
functions,1000000,OP_SET_GLOBAL,2000000.0,0.0,2000000,2000000,9.523801814065198
inheritance,1000,OP_ADD,3000.0,0.0,3000,3000,11.983702165055526
inheritance,1000,OP_CALL,1.0,0.0,1,1,0.003994567388351841
inheritance,1000,OP_CLASS,2.0,0.0,2,2,0.007989134776703682
inheritance,1000,OP_CLOSE_UPVALUE,1.0,0.0,1,1,0.003994567388351841
inheritance,1000,OP_CLOSURE,2.0,0.0,2,2,0.007989134776703682
inheritance,1000,OP_CONSTANT,3003.0,0.0,3003,3003,11.99568586722058
inheritance,1000,OP_DEFINE_GLOBAL,6.0,0.0,6,6,0.02396740433011105
inheritance,1000,OP_GET_GLOBAL,5008.0,0.0,5008,5008,20.004793480866024
inheritance,1000,OP_GET_LOCAL,1000.0,0.0,1000,1000,3.9945673883518413
inheritance,1000,OP_GET_UPVALUE,1000.0,0.0,1000,1000,3.9945673883518413
inheritance,1000,OP_INHERIT,1.0,0.0,1,1,0.003994567388351841
inheritance,1000,OP_INVOKE,1000.0,0.0,1000,1000,3.9945673883518413
inheritance,1000,OP_JUMP_IF_FALSE,1001.0,0.0,1001,1001,3.9985619557401932
inheritance,1000,OP_LESS,1001.0,0.0,1001,1001,3.9985619557401932
inheritance,1000,OP_LOOP,1000.0,0.0,1000,1000,3.9945673883518413
inheritance,1000,OP_METHOD,2.0,0.0,2,2,0.007989134776703682
inheritance,1000,OP_NIL,1.0,0.0,1,1,0.003994567388351841
inheritance,1000,OP_POP,3003.0,0.0,3003,3003,11.99568586722058
inheritance,1000,OP_PRINT,1.0,0.0,1,1,0.003994567388351841
inheritance,1000,OP_RETURN,2001.0,0.0,2001,2001,7.993129344092035
inheritance,1000,OP_SET_GLOBAL,2000.0,0.0,2000,2000,7.989134776703683
inheritance,1000,OP_SUPER_INVOKE,1000.0,0.0,1000,1000,3.9945673883518413
inheritance,10000,OP_ADD,30000.0,0.0,30000,30000,11.998368221921819
inheritance,10000,OP_CALL,1.0,0.0,1,1,0.00039994560739739396
inheritance,10000,OP_CLASS,2.0,0.0,2,2,0.0007998912147947879
inheritance,10000,OP_CLOSE_UPVALUE,1.0,0.0,1,1,0.00039994560739739396
inheritance,10000,OP_CLOSURE,2.0,0.0,2,2,0.0007998912147947879
inheritance,10000,OP_CONSTANT,30003.0,0.0,30003,30003,11.99956805874401
inheritance,10000,OP_DEFINE_GLOBAL,6.0,0.0,6,6,0.0023996736443843637
inheritance,10000,OP_GET_GLOBAL,50008.0,0.0,50008,50008,20.000479934728876
inheritance,10000,OP_GET_LOCAL,10000.0,0.0,10000,10000,3.9994560739739393
inheritance,10000,OP_GET_UPVALUE,10000.0,0.0,10000,10000,3.9994560739739393
inheritance,10000,OP_INHERIT,1.0,0.0,1,1,0.00039994560739739396
inheritance,10000,OP_INVOKE,10000.0,0.0,10000,10000,3.9994560739739393
inheritance,10000,OP_JUMP_IF_FALSE,10001.0,0.0,10001,10001,3.999856019581337
inheritance,10000,OP_LESS,10001.0,0.0,10001,10001,3.999856019581337
inheritance,10000,OP_LOOP,10000.0,0.0,10000,10000,3.9994560739739393
inheritance,10000,OP_METHOD,2.0,0.0,2,2,0.0007998912147947879
inheritance,10000,OP_NIL,1.0,0.0,1,1,0.00039994560739739396
inheritance,10000,OP_POP,30003.0,0.0,30003,30003,11.99956805874401
inheritance,10000,OP_PRINT,1.0,0.0,1,1,0.00039994560739739396
inheritance,10000,OP_RETURN,20001.0,0.0,20001,20001,7.999312093555276
inheritance,10000,OP_SET_GLOBAL,20000.0,0.0,20000,20000,7.998912147947879
inheritance,10000,OP_SUPER_INVOKE,10000.0,0.0,10000,10000,3.9994560739739393
inheritance,100000,OP_ADD,300000.0,0.0,300000,300000,11.99983680221949
inheritance,100000,OP_CALL,1.0,0.0,1,1,3.99994560073983e-05
inheritance,100000,OP_CLASS,2.0,0.0,2,2,7.99989120147966e-05
inheritance,100000,OP_CLOSE_UPVALUE,1.0,0.0,1,1,3.99994560073983e-05
inheritance,100000,OP_CLOSURE,2.0,0.0,2,2,7.99989120147966e-05
inheritance,100000,OP_CONSTANT,300003.0,0.0,300003,300003,11.999956800587512
inheritance,100000,OP_DEFINE_GLOBAL,6.0,0.0,6,6,0.0002399967360443898
inheritance,100000,OP_GET_GLOBAL,500008.0,0.0,500008,500008,20.00004799934721
inheritance,100000,OP_GET_LOCAL,100000.0,0.0,100000,100000,3.99994560073983
inheritance,100000,OP_GET_UPVALUE,100000.0,0.0,100000,100000,3.99994560073983
inheritance,100000,OP_INHERIT,1.0,0.0,1,1,3.99994560073983e-05
inheritance,100000,OP_INVOKE,100000.0,0.0,100000,100000,3.99994560073983
inheritance,100000,OP_JUMP_IF_FALSE,100001.0,0.0,100001,100001,3.999985600195837
inheritance,100000,OP_LESS,100001.0,0.0,100001,100001,3.999985600195837
inheritance,100000,OP_LOOP,100000.0,0.0,100000,100000,3.99994560073983
inheritance,100000,OP_METHOD,2.0,0.0,2,2,7.99989120147966e-05
inheritance,100000,OP_NIL,1.0,0.0,1,1,3.99994560073983e-05
inheritance,100000,OP_POP,300003.0,0.0,300003,300003,11.999956800587512
inheritance,100000,OP_PRINT,1.0,0.0,1,1,3.99994560073983e-05
inheritance,100000,OP_RETURN,200001.0,0.0,200001,200001,7.999931200935667
inheritance,100000,OP_SET_GLOBAL,200000.0,0.0,200000,200000,7.99989120147966
inheritance,100000,OP_SUPER_INVOKE,100000.0,0.0,100000,100000,3.99994560073983
inheritance,1000000,OP_ADD,3000000.0,0.0,3000000,3000000,11.999983680022195
inheritance,1000000,OP_CALL,1.0,0.0,1,1,3.999994560007398e-06
inheritance,1000000,OP_CLASS,2.0,0.0,2,2,7.999989120014797e-06
inheritance,1000000,OP_CLOSE_UPVALUE,1.0,0.0,1,1,3.999994560007398e-06
inheritance,1000000,OP_CLOSURE,2.0,0.0,2,2,7.999989120014797e-06
inheritance,1000000,OP_CONSTANT,3000003.0,0.0,3000003,3000003,11.999995680005874
inheritance,1000000,OP_DEFINE_GLOBAL,6.0,0.0,6,6,2.399996736004439e-05
inheritance,1000000,OP_GET_GLOBAL,5000008.0,0.0,5000008,5000008,20.000004799993473
inheritance,1000000,OP_GET_LOCAL,1000000.0,0.0,1000000,1000000,3.9999945600073987
inheritance,1000000,OP_GET_UPVALUE,1000000.0,0.0,1000000,1000000,3.9999945600073987
inheritance,1000000,OP_INHERIT,1.0,0.0,1,1,3.999994560007398e-06
